model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
TF-IDF,lexical_density,30,-0.0317,0.0241,0.0044,-7.1945,0.0,0.0,True
TF-IDF,lexical_diversity,30,0.1118,0.0999,0.0182,6.1291,0.0,0.0,True
TF-IDF,sentence_count,30,-0.1129,0.1025,0.0187,-6.0342,0.0,0.0,True
TF-IDF,char_count_no_spaces,30,-0.0959,0.0981,0.0179,-5.3564,0.0,0.0,True
TF-IDF,char_count,30,-0.096,0.0983,0.0179,-5.3542,0.0,0.0,True
TF-IDF,word_count,30,-0.0965,0.0989,0.0181,-5.3471,0.0,0.0,True
TF-IDF,token_count,30,-0.097,0.1,0.0183,-5.3135,0.0,0.0,True
TF-IDF,most_frequent_entity_count,30,-0.0848,0.1016,0.0185,-4.5741,0.0001,0.0002,True
TF-IDF,keyword_density,30,0.0637,0.0778,0.0142,4.4854,0.0001,0.0002,True
TF-IDF,distinct_entity_types,30,-0.07,0.0919,0.0168,-4.1707,0.0003,0.0004,True
TF-IDF,named_entity_count,30,-0.0744,0.099,0.0181,-4.1162,0.0003,0.0004,True
TF-IDF,flesch_kincaid_grade,30,0.0228,0.0325,0.0059,3.8432,0.0006,0.0008,True
TF-IDF,avg_syllables_per_word,30,0.0179,0.0718,0.0131,1.3668,0.1822,0.2102,False
TF-IDF,avg_words_per_sentence,30,0.0093,0.0423,0.0077,1.1984,0.2405,0.2576,False
TF-IDF,gunning_fog_index,30,-0.005,0.0312,0.0057,-0.8824,0.3848,0.3848,False
TF-IDF,sentiment_polarity,0,,,,,,,False
