model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
BM25,keyword_density,30,0.2433,0.0707,0.0129,18.8495,0.0,0.0,True
BM25,avg_words_per_sentence,30,-0.1339,0.0414,0.0076,-17.7036,0.0,0.0,True
BM25,lexical_density,30,0.0543,0.0181,0.0033,16.418,0.0,0.0,True
BM25,distinct_entity_types,30,-0.2437,0.0814,0.0149,-16.3999,0.0,0.0,True
BM25,char_count_no_spaces,30,-0.2602,0.0914,0.0167,-15.5864,0.0,0.0,True
BM25,char_count,30,-0.2601,0.0916,0.0167,-15.558,0.0,0.0,True
BM25,word_count,30,-0.2617,0.0925,0.0169,-15.5059,0.0,0.0,True
BM25,token_count,30,-0.2573,0.0928,0.0169,-15.1912,0.0,0.0,True
BM25,sentence_count,30,-0.2522,0.094,0.0172,-14.6878,0.0,0.0,True
BM25,named_entity_count,30,-0.2307,0.0874,0.016,-14.461,0.0,0.0,True
BM25,lexical_diversity,30,0.2192,0.0886,0.0162,13.5567,0.0,0.0,True
BM25,gunning_fog_index,30,-0.0795,0.0321,0.0059,-13.5493,0.0,0.0,True
BM25,most_frequent_entity_count,30,-0.1889,0.0862,0.0157,-12.0034,0.0,0.0,True
BM25,avg_syllables_per_word,30,0.1176,0.0609,0.0111,10.5743,0.0,0.0,True
BM25,flesch_kincaid_grade,30,-0.003,0.0278,0.0051,-0.5898,0.5599,0.5599,False
BM25,sentiment_polarity,0,,,,,,,False
