model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
BM25,keyword_density,30,0.2433,0.0707,0.0129,18.8495,0.0,0.0,True
BM25,avg_words_per_sentence,30,-0.1339,0.0414,0.0076,-17.7036,0.0,0.0,True
BM25,lexical_density,30,0.0543,0.0181,0.0033,16.418,0.0,0.0,True
BM25,distinct_entity_types,30,-0.2437,0.0814,0.0149,-16.3999,0.0,0.0,True
BM25,char_count_no_spaces,30,-0.2602,0.0914,0.0167,-15.5864,0.0,0.0,True
BM25,char_count,30,-0.2601,0.0916,0.0167,-15.558,0.0,0.0,True
BM25,word_count,30,-0.2617,0.0925,0.0169,-15.5059,0.0,0.0,True
BM25,token_count,30,-0.2573,0.0928,0.0169,-15.1912,0.0,0.0,True
BM25,sentence_count,30,-0.2522,0.094,0.0172,-14.6878,0.0,0.0,True
BM25,named_entity_count,30,-0.2307,0.0874,0.016,-14.461,0.0,0.0,True
BM25,lexical_diversity,30,0.2192,0.0886,0.0162,13.5567,0.0,0.0,True
BM25,gunning_fog_index,30,-0.0795,0.0321,0.0059,-13.5493,0.0,0.0,True
BM25,most_frequent_entity_count,30,-0.1889,0.0862,0.0157,-12.0034,0.0,0.0,True
BM25,avg_syllables_per_word,30,0.1176,0.0609,0.0111,10.5743,0.0,0.0,True
BM25,flesch_kincaid_grade,30,-0.003,0.0278,0.0051,-0.5898,0.5599,0.5599,False
BM25,sentiment_polarity,0,,,,,,,False
TF-IDF,lexical_density,30,-0.0317,0.0241,0.0044,-7.1945,0.0,0.0,True
TF-IDF,lexical_diversity,30,0.1118,0.0999,0.0182,6.1291,0.0,0.0,True
TF-IDF,sentence_count,30,-0.1129,0.1025,0.0187,-6.0342,0.0,0.0,True
TF-IDF,char_count_no_spaces,30,-0.0959,0.0981,0.0179,-5.3564,0.0,0.0,True
TF-IDF,char_count,30,-0.096,0.0983,0.0179,-5.3542,0.0,0.0,True
TF-IDF,word_count,30,-0.0965,0.0989,0.0181,-5.3471,0.0,0.0,True
TF-IDF,token_count,30,-0.097,0.1,0.0183,-5.3135,0.0,0.0,True
TF-IDF,most_frequent_entity_count,30,-0.0848,0.1016,0.0185,-4.5741,0.0001,0.0002,True
TF-IDF,keyword_density,30,0.0637,0.0778,0.0142,4.4854,0.0001,0.0002,True
TF-IDF,distinct_entity_types,30,-0.07,0.0919,0.0168,-4.1707,0.0003,0.0004,True
TF-IDF,named_entity_count,30,-0.0744,0.099,0.0181,-4.1162,0.0003,0.0004,True
TF-IDF,flesch_kincaid_grade,30,0.0228,0.0325,0.0059,3.8432,0.0006,0.0008,True
TF-IDF,avg_syllables_per_word,30,0.0179,0.0718,0.0131,1.3668,0.1822,0.2102,False
TF-IDF,avg_words_per_sentence,30,0.0093,0.0423,0.0077,1.1984,0.2405,0.2576,False
TF-IDF,gunning_fog_index,30,-0.005,0.0312,0.0057,-0.8824,0.3848,0.3848,False
TF-IDF,sentiment_polarity,0,,,,,,,False
SBERT,avg_words_per_sentence,30,0.081,0.0501,0.0092,8.8455,0.0,0.0,True
SBERT,keyword_density,30,-0.1077,0.0672,0.0123,-8.7773,0.0,0.0,True
SBERT,distinct_entity_types,30,0.1525,0.1029,0.0188,8.1191,0.0,0.0,True
SBERT,named_entity_count,30,0.1747,0.1204,0.022,7.9464,0.0,0.0,True
SBERT,most_frequent_entity_count,30,0.1753,0.1256,0.0229,7.6435,0.0,0.0,True
SBERT,char_count_no_spaces,30,0.1449,0.1137,0.0208,6.9798,0.0,0.0,True
SBERT,char_count,30,0.1452,0.1141,0.0208,6.9708,0.0,0.0,True
SBERT,word_count,30,0.1452,0.1161,0.0212,6.8532,0.0,0.0,True
SBERT,token_count,30,0.15,0.12,0.0219,6.8451,0.0,0.0,True
SBERT,lexical_diversity,30,-0.1599,0.1317,0.0241,-6.6489,0.0,0.0,True
SBERT,sentence_count,30,0.1459,0.1226,0.0224,6.5194,0.0,0.0,True
SBERT,gunning_fog_index,30,-0.0294,0.0376,0.0069,-4.2764,0.0002,0.0002,True
SBERT,avg_syllables_per_word,30,-0.0965,0.1298,0.0237,-4.0725,0.0003,0.0004,True
SBERT,lexical_density,30,0.0243,0.0383,0.007,3.4826,0.0016,0.0017,True
SBERT,flesch_kincaid_grade,30,-0.0234,0.0752,0.0137,-1.704,0.0991,0.0991,False
SBERT,sentiment_polarity,0,,,,,,,False
E5,named_entity_count,30,0.2234,0.0913,0.0167,13.3992,0.0,0.0,True
E5,distinct_entity_types,30,0.1928,0.0808,0.0148,13.0656,0.0,0.0,True
E5,avg_words_per_sentence,30,0.1216,0.0512,0.0093,13.0164,0.0,0.0,True
E5,most_frequent_entity_count,30,0.2026,0.0941,0.0172,11.7997,0.0,0.0,True
E5,keyword_density,30,-0.1553,0.0813,0.0148,-10.4678,0.0,0.0,True
E5,char_count_no_spaces,30,0.1707,0.0967,0.0177,9.6643,0.0,0.0,True
E5,char_count,30,0.1709,0.0971,0.0177,9.645,0.0,0.0,True
E5,token_count,30,0.1754,0.1005,0.0183,9.5629,0.0,0.0,True
E5,word_count,30,0.169,0.0998,0.0182,9.2796,0.0,0.0,True
E5,lexical_diversity,30,-0.1654,0.1051,0.0192,-8.6203,0.0,0.0,True
E5,sentence_count,30,0.1614,0.104,0.019,8.4967,0.0,0.0,True
E5,avg_syllables_per_word,30,-0.1116,0.1062,0.0194,-5.7571,0.0,0.0,True
E5,gunning_fog_index,30,-0.022,0.0347,0.0063,-3.4625,0.0017,0.0019,True
