model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
Cross-Encoder,lexical_density,30,0.1198,0.0213,0.0039,30.8198,0.0,0.0,True
Cross-Encoder,gunning_fog_index,30,-0.1322,0.0353,0.0064,-20.5195,0.0,0.0,True
Cross-Encoder,avg_words_per_sentence,30,-0.1805,0.0789,0.0144,-12.5392,0.0,0.0,True
Cross-Encoder,keyword_density,30,0.2706,0.1265,0.0231,11.7186,0.0,0.0,True
Cross-Encoder,distinct_entity_types,30,-0.275,0.149,0.0272,-10.1091,0.0,0.0,True
Cross-Encoder,char_count_no_spaces,30,-0.2836,0.1657,0.0302,-9.3773,0.0,0.0,True
Cross-Encoder,char_count,30,-0.2834,0.1659,0.0303,-9.3592,0.0,0.0,True
Cross-Encoder,word_count,30,-0.2835,0.1673,0.0305,-9.2801,0.0,0.0,True
Cross-Encoder,token_count,30,-0.2763,0.168,0.0307,-9.0093,0.0,0.0,True
Cross-Encoder,sentence_count,30,-0.2651,0.167,0.0305,-8.6926,0.0,0.0,True
Cross-Encoder,named_entity_count,30,-0.2487,0.1604,0.0293,-8.4914,0.0,0.0,True
Cross-Encoder,lexical_diversity,30,0.2155,0.1613,0.0295,7.3158,0.0,0.0,True
Cross-Encoder,most_frequent_entity_count,30,-0.1748,0.1533,0.028,-6.2458,0.0,0.0,True
Cross-Encoder,avg_syllables_per_word,30,0.1352,0.1267,0.0231,5.8437,0.0,0.0,True
Cross-Encoder,flesch_kincaid_grade,30,-0.0154,0.0556,0.0101,-1.5162,0.1403,0.1403,False
Cross-Encoder,sentiment_polarity,0,,,,,,,False
