model,feature,corr_with_rank,corr_with_score,n
bm25,avg_token_length,0.20866936589452115,-0.18773354440953766,21058
bm25,char_count,-0.7139708530101647,0.6625265799429937,21058
bm25,lexical_diversity,0.6491417676163191,-0.5972832743274316,21058
bm25,flesch_kincaid_grade,-0.06558943818973705,0.050517882640756455,21058
bm25,sentence_count,-0.7160650205778147,0.6655846375577605,21058
bm25,word_count,-0.7194178327168269,0.6682802833198744,21058
hybrid,avg_token_length,0.1249778545544887,-0.1297333025595395,21058
hybrid,char_count,-0.5572919197180295,0.5639201075084208,21058
hybrid,lexical_diversity,0.5235415295352875,-0.5284681744472443,21058
hybrid,flesch_kincaid_grade,-0.05818204224049045,0.051838897532430324,21058
hybrid,sentence_count,-0.5602157556594426,0.5678774221081674,21058
hybrid,word_count,-0.5594145181300337,0.5664351189752366,21058
pagerank,avg_token_length,-0.016387048777697935,0.016387048777697935,21058
pagerank,char_count,-0.22774908455988646,0.22774908455988646,21058
pagerank,lexical_diversity,0.14863951613176052,-0.14863951613176052,21058
pagerank,flesch_kincaid_grade,-0.11327163142754013,0.11327163142754013,21058
pagerank,sentence_count,-0.18901354632169057,0.18901354632169057,21058
pagerank,word_count,-0.2252948502006138,0.2252948502006138,21058
semantic,avg_token_length,0.06875792221513914,-0.06630044110830116,21058
semantic,char_count,-0.41645982010868315,0.4025605593942255,21058
semantic,lexical_diversity,0.39868367193525633,-0.3856521981828741,21058
semantic,flesch_kincaid_grade,-0.06224700292440261,0.058908454201252784,21058
semantic,sentence_count,-0.4172260368553711,0.40371663242168243,21058
semantic,word_count,-0.4168582080012708,0.40298491003204806,21058
