model,feature,n_queries,mean_tau,std_tau,se,t,p_value,p_corrected,significant
E5,named_entity_count,30,0.2234,0.0913,0.0167,13.3992,0.0,0.0,True
E5,distinct_entity_types,30,0.1928,0.0808,0.0148,13.0656,0.0,0.0,True
E5,avg_words_per_sentence,30,0.1216,0.0512,0.0093,13.0164,0.0,0.0,True
E5,most_frequent_entity_count,30,0.2026,0.0941,0.0172,11.7997,0.0,0.0,True
E5,keyword_density,30,-0.1553,0.0813,0.0148,-10.4678,0.0,0.0,True
E5,char_count_no_spaces,30,0.1707,0.0967,0.0177,9.6643,0.0,0.0,True
E5,char_count,30,0.1709,0.0971,0.0177,9.645,0.0,0.0,True
E5,token_count,30,0.1754,0.1005,0.0183,9.5629,0.0,0.0,True
E5,word_count,30,0.169,0.0998,0.0182,9.2796,0.0,0.0,True
E5,lexical_diversity,30,-0.1654,0.1051,0.0192,-8.6203,0.0,0.0,True
E5,sentence_count,30,0.1614,0.104,0.019,8.4967,0.0,0.0,True
E5,avg_syllables_per_word,30,-0.1116,0.1062,0.0194,-5.7571,0.0,0.0,True
E5,gunning_fog_index,30,-0.022,0.0347,0.0063,-3.4625,0.0017,0.0019,True
E5,lexical_density,30,0.0224,0.0431,0.0079,2.8449,0.0081,0.0086,True
E5,flesch_kincaid_grade,30,-0.0021,0.0654,0.0119,-0.1734,0.8635,0.8635,False
E5,sentiment_polarity,0,,,,,,,False
