model,feature,n_queries,mean_rho,std_rho,se,t,p_value,p_corrected,significant
E5,named_entity_count,30,0.3286,0.1347,0.0246,13.3572,0.0,0.0,True
E5,avg_words_per_sentence,30,0.183,0.0763,0.0139,13.1324,0.0,0.0,True
E5,distinct_entity_types,30,0.277,0.1169,0.0213,12.979,0.0,0.0,True
E5,most_frequent_entity_count,30,0.2925,0.1343,0.0245,11.9283,0.0,0.0,True
E5,keyword_density,30,-0.2329,0.1208,0.0221,-10.5594,0.0,0.0,True
E5,char_count_no_spaces,30,0.2534,0.1448,0.0264,9.5809,0.0,0.0,True
E5,char_count,30,0.2537,0.1453,0.0265,9.5635,0.0,0.0,True
E5,token_count,30,0.2606,0.1501,0.0274,9.5078,0.0,0.0,True
E5,word_count,30,0.2511,0.1494,0.0273,9.2074,0.0,0.0,True
E5,lexical_diversity,30,-0.2461,0.1559,0.0285,-8.6454,0.0,0.0,True
E5,sentence_count,30,0.2377,0.1534,0.028,8.4889,0.0,0.0,True
E5,avg_syllables_per_word,30,-0.1693,0.1589,0.029,-5.8335,0.0,0.0,True
E5,gunning_fog_index,30,-0.032,0.0521,0.0095,-3.3659,0.0022,0.0025,True
E5,lexical_density,30,0.0343,0.0649,0.0118,2.8969,0.0071,0.0076,True
E5,flesch_kincaid_grade,30,-0.0022,0.0974,0.0178,-0.1249,0.9015,0.9015,False
E5,sentiment_polarity,0,,,,,,,False
