model,feature,corr_with_rank,corr_with_score,n
bm25,avg_token_length,0.20866936589452115,-0.18773354440953766,21058
bm25,char_count,-0.7139708530101647,0.6625265799429937,21058
bm25,lexical_diversity,0.6491417676163191,-0.5972832743274316,21058
bm25,flesch_kincaid_grade,-0.06558943818973705,0.050517882640756455,21058
bm25,sentence_count,-0.7160650205778147,0.6655846375577605,21058
bm25,word_count,-0.7194178327168269,0.6682802833198744,21058
sbert,avg_token_length,0.06875792221513914,-0.06630044110830116,21058
sbert,char_count,-0.41645982010868315,0.4025605593942255,21058
sbert,lexical_diversity,0.39868367193525633,-0.3856521981828741,21058
sbert,flesch_kincaid_grade,-0.06224700292440261,0.058908454201252784,21058
sbert,sentence_count,-0.4172260368553711,0.40371663242168243,21058
sbert,word_count,-0.4168582080012708,0.40298491003204806,21058
